ticker,last_date,last_close,ma20,ma50,pct_vs_20dma,pct_vs_50dma,pct_from_52w_high,pct_from_52w_low,high52,low52,market_cap
COHU,2026-05-22,46.53,46.99,39.74,-1.0,17.1,-9.3,174.4,51.28,16.96,2195068838.3229065
KLIC,2026-05-22,104.4,95.76,81.65,9.0,27.9,0.0,227.3,104.4,31.9,5463552438.653633
AEHR,2026-05-22,95.02,92.11,71.12,3.2,33.6,-10.6,973.7,106.34,8.85,2988688089.493515
POET,2026-05-22,14.59,11.68,8.98,24.9,62.5,-29.1,268.4,20.57,3.96,2518166999.875969
PPSI,2026-05-22,5.21,4.14,3.5,25.9,48.9,-0.2,119.8,5.22,2.37,57811546.283288956
NEO.TO,2026-05-22,29.86,28.68,25.24,4.1,18.3,-8.5,222.8,32.64,9.25,1253820589.548645
AAON,2026-05-22,134.6,117.85,99.43,14.2,35.4,-5.0,87.5,141.7,71.78,11025316665.949402
FIX,2026-05-22,1828.25,1900.39,1666.27,-3.8,9.7,-10.5,287.8,2042.36,471.5,64325087667.75
AIXA.DE,2026-05-22,53.68,49.27,41.68,8.9,28.8,-2.9,352.6,55.28,11.86,6054344891.859512
AXTI,2026-05-22,140.83,106.15,79.52,32.7,77.1,0.0,9545.9,140.83,1.46,9213547122.513428
LWLG,2026-05-22,12.85,14.27,11.35,-10.0,13.2,-29.5,1252.6,18.22,0.95,1979923329.976715
ALMU,2026-05-22,22.64,24.1,18.25,-6.0,24.0,-28.1,111.0,31.49,10.73,414432773.2273102
IQE.L,2026-05-22,45.75,44.57,38.42,2.7,19.1,-27.4,837.5,63.0,4.88,44829616140.0
SMTC,2026-05-22,156.78,124.45,101.96,26.0,53.8,0.0,338.4,156.78,35.76,14598491353.114838
MTSI,2026-05-22,385.98,335.83,281.47,14.9,37.1,0.0,226.1,385.98,118.35,29448643686.730408
VECO,2026-05-22,59.55,55.52,45.0,7.3,32.3,-4.0,210.2,62.01,19.2,3634543985.1851463
POWL,2026-05-22,279.22,284.62,236.33,-1.9,18.1,-13.3,393.9,322.05,56.53,10172445078.252228
MOD,2026-05-22,260.52,262.42,240.43,-0.7,8.4,-10.8,193.4,292.16,88.79,13737530863.117767
FORM,2026-05-22,128.99,134.59,122.22,-4.2,5.5,-16.8,367.0,155.08,27.62,10055386468.498352
