ticker,scenario,revenue_assumption_local,sales_multiple,implied_market_cap_local,current_market_cap_local,current_ps_ttm,implied_upside_downside_%,note
HPS-A.TO,bear,950000000.0,2.25,2137500000.0,3569215232.0,3.71,-40.1,"rough market-cap PS sensitivity, not target price"
HPS-A.TO,base,1100000000.0,3.5,3850000000.0,3569215232.0,3.71,7.9,"rough market-cap PS sensitivity, not target price"
HPS-A.TO,bull,1250000000.0,5.0,6250000000.0,3569215232.0,3.71,75.1,"rough market-cap PS sensitivity, not target price"
ACMR,bear,1000000000.0,3.5,3500000000.0,5069180928.0,5.28,-31.0,"rough market-cap PS sensitivity, not target price"
ACMR,base,1140000000.0,5.5,6270000000.0,5069180928.0,5.28,23.7,"rough market-cap PS sensitivity, not target price"
ACMR,bull,1300000000.0,7.5,9750000000.0,5069180928.0,5.28,92.3,"rough market-cap PS sensitivity, not target price"
MXL,bear,550000000.0,6.0,3300000000.0,8879377408.0,17.45,-62.8,"rough market-cap PS sensitivity, not target price"
MXL,base,700000000.0,11.5,8050000000.0,8879377408.0,17.45,-9.3,"rough market-cap PS sensitivity, not target price"
MXL,bull,925000000.0,15.0,13875000000.0,8879377408.0,17.45,56.3,"rough market-cap PS sensitivity, not target price"
AEHR,bear,70000000.0,9.0,630000000.0,2988688128.0,66.04,-78.9,"rough market-cap PS sensitivity, not target price"
AEHR,base,115000000.0,17.5,2012500000.0,2988688128.0,66.04,-32.7,"rough market-cap PS sensitivity, not target price"
AEHR,bull,190000000.0,25.0,4750000000.0,2988688128.0,66.04,58.9,"rough market-cap PS sensitivity, not target price"
COHU,bear,455000000.0,3.0,1365000000.0,2195068928.0,4.56,-37.8,"rough market-cap PS sensitivity, not target price"
COHU,base,550000000.0,4.5,2475000000.0,2195068928.0,4.56,12.8,"rough market-cap PS sensitivity, not target price"
COHU,bull,700000000.0,6.5,4550000000.0,2195068928.0,4.56,107.3,"rough market-cap PS sensitivity, not target price"
KLIC,bear,750000000.0,3.5,2625000000.0,5463552512.0,7.11,-52.0,"rough market-cap PS sensitivity, not target price"
KLIC,base,950000000.0,5.5,5225000000.0,5463552512.0,7.11,-4.4,"rough market-cap PS sensitivity, not target price"
KLIC,bull,1200000000.0,7.5,9000000000.0,5463552512.0,7.11,64.7,"rough market-cap PS sensitivity, not target price"
NEO.TO,bear,475000000.0,1.25,593750000.0,1253820544.0,2.45,-52.6,"rough market-cap PS sensitivity, not target price"
NEO.TO,base,600000000.0,2.5,1500000000.0,1253820544.0,2.45,19.6,"rough market-cap PS sensitivity, not target price"
NEO.TO,bull,750000000.0,3.5,2625000000.0,1253820544.0,2.45,109.4,"rough market-cap PS sensitivity, not target price"
