theme,ticker,appearances,abs_median_20d_%,abs_hit_rate_20d,abs_n_20d,xqqq_median_20d_%,xqqq_hit_rate_20d,xqqq_n_20d,xsmh_median_20d_%,xsmh_hit_rate_20d,xsmh_n_20d,abs_median_60d_%,abs_hit_rate_60d,abs_n_60d,xqqq_median_60d_%,xqqq_hit_rate_60d,xqqq_n_60d,xsmh_median_60d_%,xsmh_hit_rate_60d,xsmh_n_60d,abs_median_120d_%,abs_hit_rate_120d,abs_n_120d,xqqq_median_120d_%,xqqq_hit_rate_120d,xqqq_n_120d,xsmh_median_120d_%,xsmh_hit_rate_120d,xsmh_n_120d,abs_median_252d_%,abs_hit_rate_252d,abs_n_252d,xqqq_median_252d_%,xqqq_hit_rate_252d,xqqq_n_252d,xsmh_median_252d_%,xsmh_hit_rate_252d,xsmh_n_252d
advanced_packaging_hbm,ACMR,5,6.38,0.8,5,6.9,0.8,5,5.78,0.6,5,6.57,0.5,4,-1.11,0.5,4,-2.71,0.5,4,7.79,0.5,4,-8.5,0.5,4,-14.27,0.25,4,17.33,1.0,4,-4.73,0.5,4,-3.92,0.25,4
advanced_packaging_hbm,AEHR,5,5.69,0.6,5,7.06,0.6,5,11.55,0.6,5,10.93,0.5,4,3.34,0.5,4,-3.41,0.5,4,-11.59,0.25,4,-22.07,0.0,4,-23.41,0.0,4,-49.77,0.0,4,-72.44,0.0,4,-86.28,0.0,4
advanced_packaging_hbm,AMKR,4,6.08,0.5,4,1.9,0.75,4,-0.41,0.25,4,6.34,1.0,4,-1.48,0.5,4,-6.27,0.0,4,0.82,0.5,4,-9.66,0.25,4,-15.13,0.0,4,-2.35,0.5,4,-24.41,0.25,4,-41.69,0.0,4
advanced_packaging_hbm,CAMT,5,13.43,1.0,5,11.38,1.0,5,4.62,1.0,5,39.24,0.75,4,31.35,0.75,4,24.75,0.75,4,34.59,0.75,4,22.22,0.5,4,15.73,0.75,4,45.49,0.5,4,23.43,0.5,4,9.59,0.5,4
advanced_packaging_hbm,FORM,5,3.94,0.6,5,4.46,0.6,5,3.33,0.6,5,12.17,0.75,4,4.33,0.5,4,-0.62,0.5,4,12.35,0.5,4,1.87,0.5,4,-2.15,0.25,4,20.39,0.5,4,-1.67,0.5,4,-15.52,0.25,4
advanced_packaging_hbm,KLIC,5,0.13,0.6,5,0.65,0.6,5,-0.47,0.4,5,-2.66,0.25,4,-10.54,0.0,4,-14.28,0.0,4,-4.4,0.25,4,-22.14,0.0,4,-24.41,0.0,4,-17.73,0.0,4,-44.47,0.0,4,-57.2,0.0,4
advanced_packaging_hbm,ONTO,5,8.15,0.8,5,8.66,0.6,5,7.54,0.6,5,17.49,0.75,4,9.65,0.75,4,3.74,0.75,4,20.34,0.75,4,9.87,0.5,4,8.52,0.75,4,33.61,0.5,4,11.56,0.5,4,-2.29,0.5,4
all_ai_supply_chain,AAOI,1,-9.95,0.0,1,-5.14,0.0,1,-5.6,0.0,1,33.18,1.0,1,28.3,1.0,1,20.79,1.0,1,-16.59,0.0,1,-35.26,0.0,1,-38.02,0.0,1,679.62,1.0,1,639.7,1.0,1,628.34,1.0,1
all_ai_supply_chain,AMD,1,-11.68,0.0,1,-6.87,0.0,1,-7.32,0.0,1,7.07,1.0,1,2.19,1.0,1,-5.31,0.0,1,47.53,1.0,1,28.85,1.0,1,26.09,1.0,1,65.4,1.0,1,25.48,1.0,1,14.12,1.0,1
all_ai_supply_chain,AVGO,1,7.88,1.0,1,12.69,1.0,1,12.23,1.0,1,14.93,1.0,1,10.05,1.0,1,2.55,1.0,1,32.36,1.0,1,13.69,1.0,1,10.93,1.0,1,83.11,1.0,1,43.19,1.0,1,31.83,1.0,1
all_ai_supply_chain,CAMT,1,-5.01,0.0,1,-0.2,0.0,1,-0.65,0.0,1,17.1,1.0,1,12.22,1.0,1,4.71,1.0,1,17.75,1.0,1,-0.93,0.0,1,-3.69,0.0,1,169.78,1.0,1,129.85,1.0,1,118.49,1.0,1
all_ai_supply_chain,COHR,1,-1.65,0.0,1,3.16,1.0,1,2.71,1.0,1,22.67,1.0,1,17.79,1.0,1,10.28,1.0,1,-12.51,0.0,1,-31.19,0.0,1,-33.95,0.0,1,8.7,1.0,1,-31.22,0.0,1,-42.58,0.0,1
