ticker,last_date,last_close,ma20,ma50,ma100,ma200,pct_above_ma50,drawdown_from_52w_high_%,up_from_52w_low_%,52w_high,52w_low
AEHR,2026-05-22,95.02,92.11,71.12,50.79,37.67,33.6,-10.6,976.1,106.34,8.83
AXTI,2026-05-22,140.83,106.15,79.52,52.98,30.04,77.1,0.0,9545.9,140.83,1.46
CAMT,2026-05-22,167.37,180.2,174.3,160.76,132.01,-4.0,-19.3,157.5,207.46,64.99
COHR,2026-05-22,377.57,350.99,309.84,265.65,197.97,21.9,-6.8,399.2,404.94,75.63
ETN,2026-05-22,391.35,404.27,389.27,370.29,362.1,0.5,-9.4,24.6,431.82,313.97
FN,2026-05-22,703.86,677.83,630.08,564.84,482.69,11.7,-5.7,208.4,746.47,228.25
FORM,2026-05-22,128.99,134.59,122.22,102.17,72.54,5.5,-16.8,367.0,155.08,27.62
HPS-A.TO,2026-05-22,299.81,305.5,245.63,213.83,180.67,22.1,-13.6,211.5,347.2,96.25
LITE,2026-05-22,946.9,933.8,846.87,674.61,442.62,11.8,-10.1,1210.0,1053.09,72.28
MOD,2026-05-22,260.52,262.42,240.43,210.71,178.6,8.4,-10.8,193.4,292.16,88.79
MTSI,2026-05-22,385.98,335.83,281.47,251.13,198.85,37.1,0.0,226.1,385.98,118.35
MXL,2026-05-22,99.16,84.17,46.9,32.55,24.33,111.4,-3.0,770.6,102.27,11.39
ONTO,2026-05-22,262.25,279.57,253.26,228.23,179.34,3.5,-14.8,191.4,307.86,90.0
POWL,2026-05-22,279.22,284.54,236.26,197.01,150.67,18.2,-13.3,395.3,321.94,56.38
SMTC,2026-05-22,156.78,124.45,101.96,92.57,79.16,53.8,0.0,338.4,156.78,35.76
VECO,2026-05-22,59.55,55.52,45.0,38.24,33.22,32.3,-4.0,210.2,62.01,19.2
VRT,2026-05-22,327.46,339.12,303.02,256.43,207.67,8.1,-13.0,214.8,376.23,104.01
