ticker,last_date,last_close,ma20,ma50,ma100,ma200,pct_above_ma20,pct_above_ma50,drawdown_from_52w_high_%,up_from_52w_low_%,52w_high,52w_low
ACMR,2026-05-22,73.35,59.96,51.83,53.37,43.89,22.3,41.5,0.0,227.3,73.35,22.41
AEHR,2026-05-22,95.02,92.11,71.12,50.79,37.67,3.2,33.6,-10.6,976.1,106.34,8.83
AXTI,2026-05-22,140.83,106.15,79.52,52.98,30.04,32.7,77.1,0.0,9545.9,140.83,1.46
CAMT,2026-05-22,167.37,180.2,174.3,160.76,132.01,-7.1,-4.0,-19.3,157.5,207.46,64.99
COHU,2026-05-22,46.53,46.99,39.74,34.36,28.19,-1.0,17.1,-9.3,174.4,51.28,16.96
FORM,2026-05-22,128.99,134.59,122.22,102.17,72.54,-4.2,5.5,-16.8,367.0,155.08,27.62
HPS-A.TO,2026-05-22,299.81,305.5,245.63,213.83,180.67,-1.9,22.1,-13.6,211.5,347.2,96.25
KLIC,2026-05-22,104.4,95.76,81.63,71.87,56.13,9.0,27.9,0.0,233.4,104.4,31.31
MOD,2026-05-22,260.52,262.42,240.43,210.71,178.6,-0.7,8.4,-10.8,193.4,292.16,88.79
MTSI,2026-05-22,385.98,335.83,281.47,251.13,198.85,14.9,37.1,0.0,226.1,385.98,118.35
MXL,2026-05-22,99.16,84.17,46.9,32.55,24.33,17.8,111.4,-3.0,770.6,102.27,11.39
NEO.TO,2026-05-22,29.86,28.68,25.23,23.14,20.38,4.1,18.4,-8.5,230.9,32.64,9.02
ONTO,2026-05-22,262.25,279.57,253.26,228.23,179.34,-6.2,3.5,-14.8,191.4,307.86,90.0
POET,2026-05-22,14.59,11.68,8.98,7.79,6.88,24.9,62.5,-29.1,268.4,20.57,3.96
POWL,2026-05-22,279.22,284.54,236.26,197.01,150.67,-1.9,18.2,-13.3,395.3,321.94,56.38
PPSI,2026-05-22,5.21,4.14,3.5,3.88,3.98,25.9,48.9,-0.2,119.8,5.22,2.37
SMTC,2026-05-22,156.78,124.45,101.96,92.57,79.16,26.0,53.8,0.0,338.4,156.78,35.76
VECO,2026-05-22,59.55,55.52,45.0,38.24,33.22,7.3,32.3,-4.0,210.2,62.01,19.2
