ticker,date,close,volume,ret_5d_%,ret_20d_%,ret_60d_%,dist_from_6m_high_%
POET,2026-05-22,14.59,33639900,-8.64,-3.38,133.81,-29.07
ALMU,2026-05-22,22.64,980600,-8.93,17.89,41.5,-28.1
LWLG,2026-05-22,12.85,6610800,-5.86,1.42,186.83,-29.47
VECO,2026-05-22,59.55,584000,1.55,15.12,94.16,-3.97
AEHR,2026-05-22,95.02,1857300,-4.5,-0.93,138.74,-10.65
COHU,2026-05-22,46.53,734800,-1.29,-0.85,51.42,-9.26
AXTI,2026-05-22,140.83,10143900,13.77,84.91,279.39,0.0
AAOI,2026-05-22,181.49,10254600,-4.66,11.91,238.03,-18.65
LITE,2026-05-22,946.9,3059900,-2.45,7.4,39.87,-10.08
COHR,2026-05-22,377.57,3980200,-1.28,12.34,50.94,-6.76
SMTC,2026-05-22,156.78,6407200,13.91,42.8,73.26,0.0
MXL,2026-05-22,99.16,4218600,7.39,64.39,453.35,-3.04
MTSI,2026-05-22,385.98,970500,2.76,34.19,56.2,0.0
VIAV,2026-05-22,49.51,4585800,-3.73,3.69,65.59,-10.52
POWL,2026-05-22,279.22,409600,-4.56,10.51,57.84,-13.27
PPSI,2026-05-22,5.21,384700,30.9,63.32,34.97,-0.19
MOD,2026-05-22,260.52,1346400,-3.96,3.5,13.81,-10.83
VRT,2026-05-22,327.46,4790300,-11.72,1.24,26.35,-12.96
NVT,2026-05-22,164.66,1496700,-2.57,15.82,35.4,-5.35
CRDO,2026-05-22,218.41,8509500,26.86,11.98,90.78,0.0
ALAB,2026-05-22,306.88,6514800,31.89,44.18,146.15,0.0
FN,2026-05-22,703.86,483900,-2.52,-2.27,25.14,-5.71
MP,2026-05-22,64.46,6836500,5.21,6.14,7.43,-11.27
MTRN,2026-05-22,215.04,215200,4.89,15.68,33.35,0.0
CAMT,2026-05-22,167.37,473000,-0.58,-17.55,-0.62,-19.32
ONTO,2026-05-22,262.25,813000,-3.5,-14.82,20.36,-14.82
FORM,2026-05-22,128.99,1438500,2.15,-16.82,31.96,-16.82
ACMR,2026-05-22,73.35,1830700,15.2,30.75,28.59,0.0
KLIC,2026-05-22,104.4,551100,2.31,19.03,48.07,0.0
AMKR,2026-05-22,65.75,5884800,-6.54,-15.81,35.77,-15.81
BESI.AS,2026-05-22,273.6,416667,4.51,13.86,43.17,0.0
ASX,2026-05-22,34.81,8121400,2.96,8.78,43.66,-1.86
HPS-A.TO,2026-05-22,299.81,52700,-13.1,12.89,49.97,-13.65
ETN,2026-05-22,391.35,2353500,-2.03,-7.43,5.09,-9.37
GEV,2026-05-22,1038.74,1472300,-1.0,-9.61,18.59,-9.64
ECL,2026-05-22,253.32,1254700,2.3,-6.0,-17.2,-17.63
3017.TW,2026-05-22,2545.0,5185387,3.67,-5.04,67.43,-13.58
APH,2026-05-22,132.06,17730600,5.65,-11.79,-10.88,-20.41
TEL,2026-05-22,202.78,2156500,-0.75,-5.17,-13.67,-17.81
GLW,2026-05-22,194.05,9609400,1.17,10.32,29.35,-6.83
MU,2026-05-22,751.0,35775900,3.63,51.19,80.8,-6.55
WDC,2026-05-22,484.28,4481900,0.47,19.87,71.66,-6.12
STX,2026-05-22,812.73,2531400,2.17,38.63,98.73,-2.55
8299.TWO,2026-05-22,2430.0,5608531,-8.3,42.52,26.23,-15.62
6324.T,2026-05-22,7010.0,1907200,-1.27,55.26,84.2,-1.27
6471.T,2026-05-22,1191.0,1788600,-1.65,-3.45,-8.7,-14.18
RRX,2026-05-22,200.78,482200,1.84,-5.4,-8.89,-13.22
NOVT,2026-05-22,159.7,283900,4.39,19.09,16.88,0.0
SENS,2026-05-22,6.34,601100,9.88,-10.07,-24.07,-24.07
6762.T,2026-05-22,3370.0,14032900,12.6,32.57,42.74,0.0
NEO.TO,2026-05-22,29.86,735000,-8.52,19.92,6.26,-8.52
300308.SZ,2026-05-22,1037.98,20933769,-1.13,20.16,95.71,-3.71
300502.SZ,2026-05-22,606.77,40427817,-0.54,4.89,65.73,-3.53
300394.SZ,2026-05-22,372.5,57291558,-6.87,5.52,19.55,-6.87
002281.SZ,2026-05-22,215.87,68033225,9.86,77.25,208.3,-8.68
300570.SZ,2026-05-22,161.42,27116224,0.64,12.8,12.69,-9.72
002463.SZ,2026-05-22,114.07,101696480,10.76,14.81,65.68,0.0
002384.SZ,2026-05-22,220.55,84361695,8.46,30.19,182.83,-1.1
600183.SS,2026-05-22,108.01,66889947,20.08,48.88,68.11,0.0
002156.SZ,2026-05-22,63.44,200825154,11.26,34.32,30.78,0.0
300604.SZ,2026-05-22,236.02,34870971,12.66,59.15,80.73,-2.29
688072.SS,2026-05-22,616.98,12340951,16.42,58.83,89.84,-2.82
3324.TWO,2026-05-22,1010.0,3440993,1.51,-8.6,-0.49,-16.87
2308.TW,2026-05-22,2095.0,7818792,0.96,5.81,60.54,-8.11
2360.TW,2026-05-22,2270.0,3561507,1.34,17.01,96.54,-6.97
6669.TW,2026-05-22,5525.0,1829705,8.02,30.0,44.63,-4.58
